Gemeente,Zorgverzekeringswet (Zvw) - Kosten totaal [euro] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Kosten totaal [euro] [2014],Wet langdurige zorg (WLZ) - Kosten totaal [euro] [2015],Zvw - Huisartsenzorg - Kosten totaal [euro] [2014],Zvw - Farmaceutische zorg - Kosten totaal [euro] [2014],Zvw - Wijkverpleging - Kosten totaal [euro] [2015],Zvw - medisch-specialistische zorg - Kosten totaal [euro] [2014],Zvw - Geestelijke gezondheidszorg - Kosten totaal [euro] [2014],Zvw - Overig - Kosten totaal [euro] [2014],AWBZ - Zorg thuis - Kosten totaal [euro] [2014],AWBZ - Zorg in een instelling - Kosten totaal [euro] [2014],WLZ - Zorg in een instelling - Kosten totaal [euro] [2015],WLZ - Zorg zonder verblijf - Kosten totaal [euro] [2015],Zorgverzekeringswet (Zvw) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Wet langdurige zorg (WLZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2015],Zvw - Huisartsenzorg - Zorggebruikers [aantal] [2014],Zvw - Farmaceutische zorg - Zorggebruikers [aantal] [2014],Zvw - Wijkverpleging - Zorggebruikers [aantal] [2015],Zvw - MSZ - Zorggebruikers [aantal] [2014],Zvw - GGZ - Zorggebruikers [aantal] [2014],Zvw - Overig - Zorggebruikers [aantal] [2014],AWBZ - Zorg thuis - Zorggebruikers [aantal] [2014],AWBZ - Zorg in een instelling - Zorggebruikers [aantal] [2014],WLZ - Zorg thuis - Zorggebruikers [aantal] [2015],WLZ - Zorg in een instelling - Zorggebruikers [aantal] [2015]
Gorinchem,78388945,58993791,44448048,5125392,9477992,7400110,44586536,7489895,11709131,19614724,39379067,8241388,36206659,31696,2290,1015,27827,24401,1223,19701,2085,12950,1677,782,425,691
Gouda,155886270,110784640,79805382,10234146,18615198,12432090,91368353,13439352,22229221,37889306,72895334,15345474,64459908,63486,5568,1645,56150,48578,3202,40003,4044,25799,4379,1512,550,1241
Grave,27670033,27563184,23482309,1678685,3117739,2880964,16682338,2013774,4177497,7859232,19703952,3804712,19677596,10953,802,355,9605,8224,410,6859,729,4583,553,317,92,286
's-Gravenhage,1130536050,715468663,510911728,71309228,139429523,83697380,638118388,131149189,150529723,242004401,473464263,95222536,415689192,443601,28245,10522,394995,349875,12713,294009,33482,175035,20257,10606,3623,7892
Groningen,391925599,246371635,132903488,28080241,41690153,32773581,199100313,73783820,49271072,117215488,129156147,31482531,101420957,163385,11231,2826,142990,120563,4410,96090,15171,53342,8981,2871,938,2075
Grootegast,24639375,18155908,13424959,2178876,2721831,2632193,13799052,2086780,3852835,8289845,9866063,3241549,10183410,10770,747,248,9532,8063,370,6636,679,4453,604,181,85,182
Gulpen-Wittem,35140833,27043587,19364370,2110772,4199921,3127304,19895534,2853324,6081281,13020895,14022692,5278988,14085382,12930,996,351,11448,10418,505,8596,751,5030,766,289,109,269
Haaksbergen,53452070,37205369,27093674,3530623,5711892,5972502,32143441,3673421,8392693,14531082,22674287,5363697,21729977,21697,1477,521,18838,16698,882,14324,844,9027,1141,455,154,411
Haaren,26627101,42190611,41586778,1777385,3019604,1739482,16095027,1890904,3844182,5805879,36384732,2927458,38659320,11997,892,529,10370,9045,311,7914,637,4867,520,444,99,456
Haarlem,339506470,199958986,142813524,23450847,35228075,22549035,193714546,39127015,47985988,69573191,130385795,29069911,113743613,137800,8776,3299,121825,101723,4389,86541,9929,51820,6602,2735,1351,2268
Haarlemmerliede en Spaarnwoude,11358787,1922262,1004530,928143,1180666,1124376,7069313,714580,1466084,1509422,412840,663947,340583,5002,163,39,4481,3767,129,3161,247,1833,150,16,32,14
Haarlemmermeer,297064698,158413015,127989855,22004808,32574811,16944890,178833448,24658752,38992879,43104080,115308936,17298789,110691065,128641,5394,2218,112927,96705,2642,83014,7641,51396,3781,1980,772,1731
Halderberge,71996832,38152294,28759882,4109438,9600102,5550904,40862814,5755903,11668574,15989049,22163244,5959826,22800057,26896,1894,748,23654,21824,1110,18538,1321,11411,1464,541,310,494
Hardenberg,132307085,108316088,73948424,9376605,14161955,14004502,78322610,10574756,19871158,46761282,61554806,18826284,55122139,53475,3893,1334,46933,40318,1976,33146,2753,23217,3040,1137,514,946
Harderwijk,103490349,65496721,44745636,7230592,11574334,8742497,59684141,9760218,15241064,29556971,35939750,11608667,33136969,40980,2550,875,36184,31535,1353,25831,2773,17683,2020,731,347,608
Hardinxveld-Giessendam,36510475,21350593,16058794,2437085,4384180,3844643,20696535,3418872,5573803,8750111,12600482,3518240,12540554,15687,1015,409,13278,11722,630,9691,875,6711,814,272,209,251
Haren,43065083,40734811,30334293,3163143,4574795,5248866,24407510,4399033,6520602,14644638,26090174,6445529,23888764,16946,1535,624,14661,12609,773,10819,1156,6804,1120,584,148,514
