Gemeente,Zorgverzekeringswet (Zvw) - Kosten totaal [euro] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Kosten totaal [euro] [2014],Wet langdurige zorg (WLZ) - Kosten totaal [euro] [2015],Zvw - Huisartsenzorg - Kosten totaal [euro] [2014],Zvw - Farmaceutische zorg - Kosten totaal [euro] [2014],Zvw - Wijkverpleging - Kosten totaal [euro] [2015],Zvw - medisch-specialistische zorg - Kosten totaal [euro] [2014],Zvw - Geestelijke gezondheidszorg - Kosten totaal [euro] [2014],Zvw - Overig - Kosten totaal [euro] [2014],AWBZ - Zorg thuis - Kosten totaal [euro] [2014],AWBZ - Zorg in een instelling - Kosten totaal [euro] [2014],WLZ - Zorg in een instelling - Kosten totaal [euro] [2015],WLZ - Zorg zonder verblijf - Kosten totaal [euro] [2015],Zorgverzekeringswet (Zvw) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Wet langdurige zorg (WLZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2015],Zvw - Huisartsenzorg - Zorggebruikers [aantal] [2014],Zvw - Farmaceutische zorg - Zorggebruikers [aantal] [2014],Zvw - Wijkverpleging - Zorggebruikers [aantal] [2015],Zvw - MSZ - Zorggebruikers [aantal] [2014],Zvw - GGZ - Zorggebruikers [aantal] [2014],Zvw - Overig - Zorggebruikers [aantal] [2014],AWBZ - Zorg thuis - Zorggebruikers [aantal] [2014],AWBZ - Zorg in een instelling - Zorggebruikers [aantal] [2014],WLZ - Zorg thuis - Zorggebruikers [aantal] [2015],WLZ - Zorg in een instelling - Zorggebruikers [aantal] [2015]
Urk,31902443,24963082,19184477,2970348,3512421,2294020,18156530,1728719,5534425,13571913,11391170,6567351,12617127,16697,978,365,14119,11887,389,9035,465,8028,796,262,161,237
Utrecht,643038116,354190948,218019607,48061039,69711120,45180010,337959082,95073313,92233562,145719973,208470976,51770158,166249449,284348,15034,4971,251388,207859,6847,170561,23133,105305,11521,4342,2033,3299
Utrechtse Heuvelrug,113091687,124194720,99580419,8041575,12025974,12302244,67153299,10184492,15686347,34456462,89738258,16263879,83316539,42791,3679,1759,37365,32434,1874,27540,2519,17595,2391,1478,532,1352
Vaals,22075825,15535539,12353102,1198145,2707142,1970928,10722393,1837462,5610683,5932375,9603164,2523498,9829604,6933,652,255,6270,5746,355,4667,488,3238,477,222,72,210
Valkenburg aan de Geul,44335586,36090226,26274346,2738930,5188370,3809674,25988676,3450561,6969049,11249317,24840909,4550470,21723876,14945,1350,530,13492,12098,705,9903,920,5785,928,514,139,427
Valkenswaard,73856846,44359548,34461911,4398247,8571800,5203762,43778583,5784494,11323723,13086275,31273273,5215770,29246141,27345,1915,699,23906,21641,994,18287,1574,11276,1393,721,244,524
Veendam,69983748,51146809,31840462,4438799,8725213,9430225,40410563,6383751,10025422,29857768,21289041,11108292,20732170,25038,2319,691,22040,20078,1120,16867,1852,10551,1931,530,285,468
Veenendaal,138274207,89468497,57977091,10046639,16686293,14979140,79089413,13082009,19369853,45356261,44112236,22280103,35696987,57101,3768,1209,49990,43339,1990,34944,3152,24631,3044,974,570,752
Veere,42280560,37778119,30393082,3073371,5011387,4182468,24522497,2111711,7561594,10020603,27757516,3479981,26913101,19395,1268,548,16761,14751,683,12358,631,7792,842,544,131,459
Veghel,82675987,46152944,34356341,5436170,9468815,6090751,49795556,5881829,12093618,18897726,27255219,10089722,24266619,33984,1979,730,30391,26532,1185,21737,1911,14484,1536,584,336,470
Veldhoven,102502243,79187448,67707311,6009910,11049133,6519142,59956988,9539298,15946915,21839561,57347886,7890134,59817178,39506,2612,1093,34393,30328,1218,26200,2264,15961,1905,958,320,851
Velsen,161887121,93241391,65193721,10774020,17518604,9971993,97342284,14112618,22139595,34766664,58474727,17760450,47433271,60460,3871,1520,54017,46294,1931,39127,4042,24308,2847,1249,641,1011
Venlo,257117743,141113455,91277961,14181136,31327262,23753029,148276471,25641374,37691501,59827436,81286019,19376597,71901364,88979,6414,1864,78828,69892,3767,59224,5669,37560,5118,1606,727,1360
Venray,102964873,77635128,61036330,6121615,11950873,7260247,56481798,13013640,15396947,22255469,55379659,10591665,50444666,38322,2543,1044,33416,29131,1251,24655,2528,16387,1702,954,343,764
Vianen,43353121,20145284,15670470,2872274,5050499,2706567,26503383,3273823,5653141,8823064,11322219,4721834,10948636,17611,943,407,15485,13732,575,10977,954,6959,748,263,205,252
Vlaardingen,167158136,101409659,75385121,10025933,20272344,12010842,98054098,15243776,23561984,35677602,65732057,16607726,58777396,63941,4027,1692,56975,51224,2106,42701,3794,24930,2914,1477,686,1222
Vlagtwedde,43086394,32209525,20168643,2699005,5203535,7581828,25944443,2969162,6270250,17612895,14596630,5813763,14354880,14287,1353,388,12604,11763,824,9873,797,6117,1097,314,132,279
Vlieland,2140601,874246,492797,301186,252031,286462,1231017,57227,299140,477300,396945,25493,467304,944,49,14,855,760,39,592,31,348,49,,,11
Vlissingen,104473127,68602232,42037387,6403405,12422017,12607761,57450407,9503032,18694265,31013023,37589209,7556098,34481289,38821,3121,927,34067,30452,1864,26221,2200,15689,2494,939,337,691
Voerendaal,30107880,10505651,7716279,1857667,3649213,2338417,17001159,2323584,5276256,6063882,4441769,1958707,5757573,11241,668,189,9969,9035,439,7337,588,4570,577,124,85,120
Voorschoten,54451411,31885583,28723318,3746851,6249573,4067375,32306401,4820482,7328105,12491669,19393915,9870660,18852658,22653,1344,684,20114,17504,645,14611,1547,9091,1005,464,355,406
Voorst,51206890,73048435,50417921,3728806,6234453,5687485,30677789,3685422,6880419,12543316,60505119,2393062,48024859,21467,1847,817,18752,16119,898,13885,965,8843,1170,868,153,711
Vught,60674290,81185324,73522421,3353261,6235429,3579666,34584424,7818985,8682191,13382932,67802392,5951217,67571204,23138,2217,1257,19720,17504,746,15492,1476,9823,1268,1136,272,1091
Waalre,38112638,17480072,12746084,2339814,4443459,3263235,22988909,2591958,5748498,8333122,9146950,3460061,9286023,15345,884,282,13452,11803,550,9876,733,6333,738,245,127,196
Waalwijk,108053661,66622627,45790841,6794729,13022388,6324116,63337330,8575488,16323727,22589064,44033563,8608914,37181928,42034,2820,968,37664,32818,1295,27646,2171,17320,2071,953,334,716
Waddinxveen,54379725,33104623,25720278,3679119,6355696,4163645,33282697,3330558,7731656,11643222,21461401,5292291,20427987,22971,1649,489,20145,17946,1105,14609,1131,9136,1337,422,170,375
Wageningen,68429971,63485494,51722336,4988070,7831140,6806818,39019727,7657156,8933878,20206891,43278603,10305667,41416669,29629,2282,958,25911,22006,1034,17484,1931,11035,1588,895,275,781
Wassenaar,60518934,40574110,29957059,3522585,6615429,5361049,38477749,4053462,7849709,18761033,21813077,10227046,19730013,22363,1477,601,19703,17234,880,15691,1209,8900,1104,539,255,398
Waterland,37433681,12370687,9824406,2828771,4366735,1948537,22507828,2559367,5170980,3960812,8409875,1149048,8675359,15462,708,258,13630,11851,405,10121,687,6022,544,218,94,197
Weert,126738441,73550104,52347894,7471707,14002909,8459843,76179318,9804136,19280371,29117834,44432270,10601340,41746554,44356,3135,1063,39786,35526,1736,30116,2536,18474,2453,902,409,771
Weesp,37686331,26951583,20600190,2784206,4077122,1876283,22444026,3031959,5349019,7269884,19681699,4129434,16470756,16228,923,440,14425,12104,413,10212,956,6174,628,381,162,328
Werkendam,52546410,32367268,27056912,3783455,6484777,3489877,30641310,3245153,8391715,12968801,19398467,8082094,18974818,23557,1222,557,20407,17758,657,14482,1026,9667,940,397,271,354
West Maas en Waal,41894984,32183190,27434665,2894749,4452050,2780709,25520325,2589998,6437862,10644618,21538572,6888850,20545815,16678,1127,472,14713,12721,562,10598,837,6952,804,402,167,348
Westerveld,47374574,46199834,35150007,3148175,4764115,6081329,28785334,3906488,6770462,18336713,27863121,8290618,26859388,17016,1520,562,14791,13291,860,11157,1026,7244,1175,453,214,391
Westervoort,34077171,18356603,12359682,2481430,3899458,3288296,20238382,3203089,4254812,10050079,8306524,5421799,6937882,13489,827,274,12098,10512,402,8789,955,5392,707,200,156,148
Westland,204448235,136775175,122182083,14140294,23928990,11053349,123986119,15696351,26696481,31581439,105193736,14368006,107814077,91534,4540,2215,80717,70949,2317,58070,4709,37211,3118,1868,649,1781
Weststellingwerf,60481264,49434245,39519818,4039223,6706514,6501148,37153716,3730900,8850912,22556071,26878174,12833241,26686577,22863,1937,747,20097,17606,959,14600,1154,9592,1534,561,237,558
Westvoorne,32989232,21433018,16586044,2040757,3959533,3911326,19552842,2211662,5224438,11732938,9700080,7225354,9360690,12838,901,297,11278,10212,587,8268,612,5121,754,249,165,156
Wierden,48859521,27108502,18358140,3620513,5850643,6035729,28767231,3238612,7382521,13803080,13305422,5307882,13050258,21234,1249,404,18363,15997,799,13533,794,8990,1039,292,178,263
Wijchen,92013357,49025047,36992902,6167416,10283110,7798981,54169737,8530726,12862368,23967998,25057049,12300113,24692790,37196,2117,848,33185,28074,1141,22919,2206,15409,1734,554,508,487
Wijdemeren,52915741,25749090,19212147,3619122,5659615,4541030,32772616,3567551,7296837,11323660,14425431,5458479,13753668,21044,1083,428,18609,16308,695,14258,1129,8185,853,290,194,272
Wijk bij Duurstede,48356892,20999312,15558771,3500411,5240617,3917939,29203650,3784765,6627449,11906303,9093009,6381793,9176978,20793,1030,336,17944,15669,649,13093,1090,8354,882,208,184,194
Winsum,28993420,21767976,16260351,2138225,3571945,2519682,15592511,3074609,4616129,9176713,12591262,3603759,12656592,12329,867,332,10708,9191,360,7281,844,5157,639,291,91,263
Winterswijk,66260944,53725435,36128639,4410794,7889550,8961581,39599154,5519762,8841685,22158378,31567057,6536465,29592173,25602,2250,767,22316,20103,1267,16542,1154,10853,1689,707,192,627
Woensdrecht,52425374,27888474,19556065,2955881,5810596,3601569,30414326,3896856,9347715,13675774,14212700,6188160,13367905,18421,1344,548,16238,14618,730,12815,865,7803,1081,358,308,294
Woerden,108967316,64561042,47539194,7213107,12678608,7316129,63526160,11039483,14509958,23495368,41065674,10713902,36825292,45329,2514,1004,39633,34074,1311,28201,2687,18559,1870,829,420,693
De Wolden,54507852,43329870,27594259,4076908,5765122,7908061,33363255,3363360,7939207,17858355,25471515,6779161,20815098,21343,1605,547,18680,16145,986,13612,1043,8998,1219,500,210,386
Wormerland,34405874,12532154,9123089,2440012,3500712,1798932,21371505,2853883,4239762,5757708,6774446,2520355,6602735,14184,779,229,12684,10858,479,9080,895,5418,657,162,97,164
Woudenberg,25532989,33132750,30048409,1808775,2755200,2426862,15139761,2162343,3666910,9107304,24025446,6124948,23923461,11074,726,389,9407,7932,319,6733,633,4889,475,295,124,287
Woudrichem,28712890,19458030,15758901,2008711,3549250,2187610,16434941,1784361,4935627,8241669,11216361,4411335,11347566,12993,754,312,11478,10176,369,8278,565,5143,569,255,129,210
Zaanstad,335340607,170309674,122850022,23166906,37641332,18155245,196391301,33928121,44212947,70623828,99685846,35784034,87065988,135441,8506,2803,120522,104157,4987,87363,10092,52968,6855,2251,1198,1888
Zaltbommel,56467338,29897022,20370497,4315759,6476468,5926381,33167939,4142799,8364373,13083108,16813914,4466690,15903808,24320,1445,470,21599,18420,816,15383,1288,10351,1155,379,204,320
Zandvoort,46160859,42196863,35267544,2975914,5150512,3454752,27982287,3896902,6155244,8777660,33419203,4790096,30477448,15008,1286,688,13311,11893,663,10373,890,5626,801,576,218,522
Zederik,26486418,15962844,12400643,2029924,3432343,2655331,15276642,1499431,4248078,7618006,8344838,4702758,7697885,12130,720,277,10414,9160,461,7567,504,5010,598,177,150,154
Zeewolde,37821776,16325082,9679147,2775299,4272868,2503305,22229066,3028357,5516186,10133510,6191573,3650814,6028333,18611,817,182,15801,13494,370,11199,1227,7783,743,123,100,94
Zeist,142823611,180479754,157226244,9335875,15238453,11227279,79755850,20271249,18222185,36184038,144295717,19757464,137468780,54121,5000,2585,46292,40041,2101,34799,4015,22326,3018,2334,701,2080
Zevenaar,77199778,39992484,24124614,5305828,8605826,7429410,45565977,7155915,10566231,21868735,18123749,6737489,17387125,29065,1816,528,25767,22512,1056,19517,1694,11839,1542,410,236,352
Zoetermeer,281286581,127847992,90147625,17447666,32085856,16282888,163854993,27780851,40117214,49765313,78082679,21266799,68880826,111712,6018,1927,99621,87803,3114,74627,7692,44893,4714,1905,776,1338
Zoeterwoude,16249844,35135003,34113781,1280085,1793206,912029,9911772,1261551,2003229,3712344,31422658,2362445,31751335,7278,643,441,6312,5391,161,4766,395,2765,309,411,66,401
Zuidhorn,38332631,34520306,27127129,2866546,4181283,3052330,22698864,3264813,5321124,11306859,23213447,5006282,22120847,16720,1135,495,14382,12555,432,9979,935,6734,786,427,120,405
Zuidplas,81507186,44909832,39628766,6294593,9538142,4371346,49223970,5365251,11085229,14237318,30672515,7895980,31732786,36609,2042,701,32458,28122,1281,23184,1732,14729,1592,591,208,547
Zundert,45335799,41381382,35460824,2777428,5370076,3682000,26546038,2573540,8068717,10769661,30611722,4865560,30595264,18529,1510,744,16154,14794,842,12404,677,7598,1108,492,333,469
Zutphen,117040225,95429791,64150917,7296588,12675883,13467137,63808803,18592408,14666543,36237360,59192431,12820362,51330555,42080,3571,1307,36857,31754,1835,27193,3337,17688,2676,1119,498,930
Zwartewaterland,42542255,31709588,21770071,3285905,4740499,4195706,25273223,2490076,6752552,17473107,14236481,8511336,13258735,19774,1216,426,16940,14238,580,10869,796,8994,1001,289,205,268
Zwijndrecht,106942724,56027719,40087804,6061335,13702651,7787703,62333975,9028873,15815890,21818970,34208749,8731684,31356120,40800,2471,856,36119,33055,1423,26331,2428,16797,1884,747,334,619
Zwolle,265099390,231995637,157499450,18749600,27845649,23148541,144505144,35035317,38963680,90555395,141440242,31547328,125952122,109485,8837,3073,96067,78055,3611,64716,8483,43550,6670,2783,1081,2285
